lof_csq_collapsed,Singletons,Expected_Singletons,N_variants,PS,MAPS,MAPS_Sem,downsampling,population
missense_variant,274756,2.3951e+05,449841,6.1078e-01,7.8354e-02,7.2696e-04,2419,sas
missense_variant,209578,1.7681e+05,390972,5.3604e-01,8.3813e-02,7.9756e-04,2419,amr
missense_variant,256704,2.2391e+05,381697,6.7253e-01,8.5923e-02,7.5959e-04,2604,nfe
missense_variant,62707,4.7619e+04,146286,4.2866e-01,1.0314e-01,1.2939e-03,2604,fin
missense_variant,274587,2.2597e+05,487409,5.6336e-01,9.9739e-02,7.1041e-04,2604,afr
missense_variant,268638,2.3731e+05,424443,6.3292e-01,7.3799e-02,7.3985e-04,2604,eas
missense_variant,219726,1.8567e+05,408287,5.3817e-01,8.3417e-02,7.8022e-04,2604,amr
missense_variant,401124,3.5643e+05,592652,6.7683e-01,7.5419e-02,6.0751e-04,5000,nfe
missense_variant,90228,7.0757e+04,195574,4.6135e-01,9.9558e-02,1.1272e-03,5000,fin
missense_variant,401754,3.3829e+05,706619,5.6856e-01,8.9812e-02,5.8919e-04,5000,afr
missense_variant,320720,2.7543e+05,587542,5.4587e-01,7.7084e-02,6.4955e-04,5000,amr
missense_variant,417725,3.7176e+05,617688,6.7627e-01,7.4413e-02,5.9534e-04,5316,nfe
missense_variant,93382,7.3582e+04,201045,4.6448e-01,9.8487e-02,1.1123e-03,5316,fin
missense_variant,415732,3.5112e+05,731643,5.6822e-01,8.8310e-02,5.7908e-04,5316,afr
missense_variant,331445,2.8496e+05,607139,5.4591e-01,7.6570e-02,6.3898e-04,5316,amr
missense_variant,527423,4.7181e+05,788296,6.6907e-01,7.0550e-02,5.2998e-04,7647,nfe
missense_variant,504477,4.3128e+05,898505,5.6146e-01,8.1468e-02,5.2348e-04,7647,afr
missense_variant,406078,3.5243e+05,742156,5.4716e-01,7.2286e-02,5.7781e-04,7647,amr
missense_variant,621880,5.5841e+05,941828,6.6029e-01,6.7390e-02,4.8802e-04,10000,nfe
missense_variant,578072,4.9749e+05,1044681,5.5335e-01,7.7134e-02,4.8640e-04,10000,afr
missense_variant,788255,7.1265e+05,1228302,6.4174e-01,6.1552e-02,4.3264e-04,15000,nfe
missense_variant,699575,6.0768e+05,1305944,5.3569e-01,7.0370e-02,4.3641e-04,15000,afr
missense_variant,921872,8.3511e+05,1473224,6.2575e-01,5.8893e-02,3.9870e-04,20000,nfe
missense_variant,790089,6.8939e+05,1521080,5.1943e-01,6.6204e-02,4.0510e-04,20000,afr
missense_variant,939424,8.5152e+05,1506424,6.2361e-01,5.8354e-02,3.9473e-04,20744,nfe
missense_variant,802213,6.9992e+05,1550621,5.1735e-01,6.5970e-02,4.0129e-04,20744,afr
missense_variant,1034856,9.3911e+05,1690958,6.1199e-01,5.6624e-02,3.7474e-04,25000,nfe
missense_variant,1134422,1.0297e+06,1889047,6.0053e-01,5.5461e-02,3.5636e-04,30000,nfe
missense_variant,1205397,1.0940e+06,2034940,5.9235e-01,5.4746e-02,3.4447e-04,34029,nfe
synonymous_variant,11388,1.1388e+04,29870,3.8125e-01,1.8269e-16,2.8103e-03,10,global
synonymous_variant,15850,1.5850e+04,40800,3.8848e-01,-2.2292e-16,2.4130e-03,20,global
synonymous_variant,22545,2.2545e+04,59042,3.8185e-01,0.0000e+00,1.9995e-03,50,global
synonymous_variant,29898,2.9898e+04,75459,3.9622e-01,4.8211e-17,1.7805e-03,100,global
synonymous_variant,36977,3.6977e+04,91389,4.0461e-01,0.0000e+00,1.6236e-03,158,global
synonymous_variant,40885,4.0885e+04,101168,4.0413e-01,0.0000e+00,1.5428e-03,200,global
synonymous_variant,61585,6.1585e+04,141255,4.3598e-01,-2.5755e-16,1.3194e-03,456,global
synonymous_variant,64842,6.4842e+04,147091,4.4083e-01,1.4840e-16,1.2945e-03,500,global
synonymous_variant,96871,9.6871e+04,202513,4.7834e-01,0.0000e+00,1.1100e-03,1000,global
synonymous_variant,99206,9.9206e+04,206484,4.8045e-01,1.4095e-16,1.0995e-03,1047,global
synonymous_variant,135163,1.3516e+05,266227,5.0770e-01,1.0932e-16,9.6893e-04,1736,global
synonymous_variant,147188,1.4719e+05,286175,5.1433e-01,-1.0170e-16,9.3428e-04,2000,global
synonymous_variant,163851,1.6385e+05,314307,5.2131e-01,0.0000e+00,8.9104e-04,2419,global
synonymous_variant,171368,1.7137e+05,326597,5.2471e-01,-1.7822e-16,8.7384e-04,2604,global
synonymous_variant,250846,2.5085e+05,461770,5.4323e-01,1.2605e-16,7.3304e-04,5000,global
synonymous_variant,259830,2.5983e+05,477323,5.4435e-01,0.0000e+00,7.2086e-04,5316,global
synonymous_variant,319601,3.1960e+05,582972,5.4823e-01,-9.9846e-17,6.5180e-04,7647,global
synonymous_variant,369105,3.6911e+05,674738,5.4703e-01,-1.7253e-16,6.0600e-04,10000,global
synonymous_variant,454771,4.5477e+05,840784,5.4089e-01,6.9230e-17,5.4346e-04,15000,global
synonymous_variant,523668,5.2367e+05,981561,5.3351e-01,-2.3720e-16,5.0354e-04,20000,global
synonymous_variant,532836,5.3284e+05,1001066,5.3227e-01,-1.1629e-16,4.9869e-04,20744,global
synonymous_variant,581519,5.8152e+05,1105437,5.2605e-01,2.1062e-16,4.7491e-04,25000,global
synonymous_variant,632687,6.3269e+05,1217509,5.1966e-01,0.0000e+00,4.5279e-04,30000,global
synonymous_variant,668929,6.6893e+05,1299546,5.1474e-01,8.9582e-17,4.3841e-04,34029,global
synonymous_variant,716659,7.1666e+05,1411594,5.0769e-01,-1.6494e-16,4.2079e-04,40000,global
synonymous_variant,788015,7.8802e+05,1581084,4.9840e-01,0.0000e+00,3.9764e-04,50000,global
synonymous_variant,848001,8.4800e+05,1730607,4.9000e-01,1.3454e-16,3.8000e-04,60000,global
synonymous_variant,901745,9.0175e+05,1865808,4.8330e-01,-6.2394e-17,3.6584e-04,70000,global
synonymous_variant,925811,9.2581e+05,1928392,4.8009e-01,2.4148e-16,3.5977e-04,75000,global
synonymous_variant,6917,6.9170e+03,24318,2.8444e-01,-3.7400e-17,2.8930e-03,10,nfe
synonymous_variant,6162,6.1620e+03,23544,2.6172e-01,3.8630e-17,2.8648e-03,10,fin
synonymous_variant,8822,8.8220e+03,27086,3.2570e-01,-6.7156e-17,2.8475e-03,10,mid
synonymous_variant,10907,1.0907e+04,29510,3.6960e-01,-1.8492e-16,2.8099e-03,10,oth
synonymous_variant,4833,4.8330e+03,22085,2.1884e-01,0.0000e+00,2.7822e-03,10,ami
synonymous_variant,7149,7.1490e+03,24747,2.8888e-01,-7.3503e-17,2.8812e-03,10,asj
synonymous_variant,14846,1.4846e+04,37166,3.9945e-01,-4.8942e-17,2.5406e-03,10,afr
synonymous_variant,6360,6.3600e+03,22845,2.7840e-01,-7.9623e-17,2.9654e-03,10,eas
synonymous_variant,7818,7.8180e+03,25526,3.0628e-01,7.1260e-17,2.8851e-03,10,sas
synonymous_variant,8642,8.6420e+03,26524,3.2582e-01,0.0000e+00,2.8778e-03,10,amr
synonymous_variant,8032,8.0320e+03,29279,2.7433e-01,0.0000e+00,2.6075e-03,20,nfe
synonymous_variant,6396,6.3960e+03,27679,2.3108e-01,6.5717e-17,2.5336e-03,20,fin
synonymous_variant,11179,1.1179e+04,33861,3.3014e-01,1.0744e-16,2.5556e-03,20,mid
synonymous_variant,13677,1.3677e+04,36519,3.7452e-01,-1.4943e-16,2.5327e-03,20,oth
synonymous_variant,4292,4.2920e+03,25232,1.7010e-01,0.0000e+00,2.3653e-03,20,ami
synonymous_variant,7959,7.9590e+03,29825,2.6686e-01,1.2198e-16,2.5612e-03,20,asj
synonymous_variant,17569,1.7569e+04,48143,3.6493e-01,0.0000e+00,2.1941e-03,20,afr
synonymous_variant,7889,7.8890e+03,27518,2.8669e-01,-9.9153e-17,2.7261e-03,20,eas
synonymous_variant,9888,9.8880e+03,31582,3.1309e-01,1.1519e-16,2.6095e-03,20,sas
synonymous_variant,11833,1.1833e+04,34157,3.4643e-01,-5.3254e-17,2.5746e-03,20,amr
synonymous_variant,11706,1.1706e+04,38271,3.0587e-01,4.7529e-17,2.3553e-03,50,nfe
synonymous_variant,7208,7.2080e+03,33816,2.1315e-01,-1.6137e-16,2.2271e-03,50,fin
synonymous_variant,16829,1.6829e+04,46659,3.6068e-01,0.0000e+00,2.2231e-03,50,mid
synonymous_variant,21848,2.1848e+04,55148,3.9617e-01,1.3194e-16,2.0827e-03,50,oth
synonymous_variant,3829,3.8290e+03,29241,1.3095e-01,4.6655e-17,1.9728e-03,50,ami
synonymous_variant,9706,9.7060e+03,37920,2.5596e-01,0.0000e+00,2.2410e-03,50,asj
synonymous_variant,22642,2.2642e+04,66463,3.4067e-01,-5.4737e-17,1.8384e-03,50,afr
synonymous_variant,12510,1.2510e+04,36632,3.4150e-01,-3.4759e-16,2.4777e-03,50,eas
synonymous_variant,16215,1.6215e+04,43914,3.6924e-01,-1.6569e-16,2.3030e-03,50,sas
synonymous_variant,17870,1.7870e+04,47937,3.7278e-01,1.5178e-16,2.2085e-03,50,amr
synonymous_variant,16434,1.6434e+04,47596,3.4528e-01,-7.6435e-17,2.1794e-03,100,nfe
synonymous_variant,8273,8.2730e+03,39281,2.1061e-01,-9.2614e-17,2.0573e-03,100,fin
synonymous_variant,22111,2.2111e+04,59587,3.7107e-01,6.1053e-17,1.9790e-03,100,mid
synonymous_variant,29931,2.9931e+04,73302,4.0832e-01,-4.9630e-17,1.8155e-03,100,oth
synonymous_variant,3425,3.4250e+03,31688,1.0809e-01,-1.4351e-17,1.7442e-03,100,ami
synonymous_variant,11310,1.1310e+04,45209,2.5017e-01,-1.6094e-16,2.0370e-03,100,asj
synonymous_variant,28714,2.8714e+04,84078,3.4152e-01,0.0000e+00,1.6354e-03,100,afr
synonymous_variant,18771,1.8771e+04,47486,3.9530e-01,0.0000e+00,2.2436e-03,100,eas
synonymous_variant,23498,2.3498e+04,57169,4.1103e-01,1.2727e-16,2.0578e-03,100,sas
synonymous_variant,25597,2.5597e+04,64073,3.9950e-01,5.6779e-17,1.9350e-03,100,amr
synonymous_variant,20906,2.0906e+04,55731,3.7512e-01,6.5277e-17,2.0509e-03,158,nfe
synonymous_variant,9347,9.3470e+03,43268,2.1603e-01,-4.2040e-17,1.9784e-03,158,fin
synonymous_variant,26872,2.6872e+04,70713,3.8001e-01,-5.1447e-17,1.8253e-03,158,mid
synonymous_variant,37242,3.7242e+04,88815,4.1932e-01,-1.6385e-16,1.6558e-03,158,oth
synonymous_variant,3185,3.1850e+03,33101,9.6221e-02,5.4953e-17,1.6209e-03,158,ami
synonymous_variant,12340,1.2340e+04,50689,2.4345e-01,1.0766e-16,1.9062e-03,158,asj
synonymous_variant,34637,3.4637e+04,98619,3.5122e-01,-7.3778e-17,1.5201e-03,158,afr
synonymous_variant,25042,2.5042e+04,57529,4.3529e-01,-1.8971e-16,2.0671e-03,158,eas
synonymous_variant,29908,2.9908e+04,68655,4.3563e-01,0.0000e+00,1.8924e-03,158,sas
synonymous_variant,31769,3.1769e+04,77855,4.0805e-01,1.4018e-16,1.7614e-03,158,amr
synonymous_variant,24496,2.4496e+04,61393,3.9900e-01,-1.1851e-16,1.9764e-03,200,nfe
synonymous_variant,10099,1.0099e+04,45469,2.2211e-01,-4.0005e-17,1.9493e-03,200,fin
synonymous_variant,41548,4.1548e+04,97739,4.2509e-01,0.0000e+00,1.5813e-03,200,oth
synonymous_variant,3135,3.1350e+03,33809,9.2727e-02,0.0000e+00,1.5774e-03,200,ami
synonymous_variant,12732,1.2732e+04,53634,2.3739e-01,6.7830e-17,1.8372e-03,200,asj
synonymous_variant,38389,3.8389e+04,107200,3.5811e-01,-6.7873e-17,1.4643e-03,200,afr
synonymous_variant,29174,2.9174e+04,64035,4.5559e-01,0.0000e+00,1.9681e-03,200,eas
synonymous_variant,33993,3.3993e+04,75815,4.4837e-01,-9.5970e-17,1.8062e-03,200,sas
synonymous_variant,35019,3.5019e+04,85273,4.1067e-01,8.5325e-17,1.6847e-03,200,amr
synonymous_variant,41045,4.1045e+04,87041,4.7156e-01,-2.5078e-16,1.6920e-03,456,nfe
synonymous_variant,13598,1.3598e+04,55088,2.4684e-01,-3.3020e-17,1.8371e-03,456,fin
synonymous_variant,62822,6.2822e+04,139567,4.5012e-01,-1.0426e-16,1.3317e-03,456,oth
synonymous_variant,3091,3.0910e+03,36283,8.5191e-02,3.7600e-17,1.4656e-03,456,ami
synonymous_variant,14217,1.4217e+04,64647,2.1992e-01,1.1255e-16,1.6290e-03,456,asj
synonymous_variant,57111,5.7111e+04,145652,3.9211e-01,4.9954e-17,1.2793e-03,456,afr
synonymous_variant,49141,4.9141e+04,95607,5.1399e-01,0.0000e+00,1.6164e-03,456,eas
synonymous_variant,56125,5.6125e+04,112961,4.9685e-01,0.0000e+00,1.4876e-03,456,sas
synonymous_variant,50974,5.0974e+04,119996,4.2480e-01,1.8191e-16,1.4270e-03,456,amr
synonymous_variant,43750,4.3750e+04,91001,4.8076e-01,-3.1982e-16,1.6562e-03,500,nfe
synonymous_variant,14152,1.4152e+04,56432,2.5078e-01,-3.2233e-17,1.8247e-03,500,fin
synonymous_variant,65974,6.5974e+04,145532,4.5333e-01,0.0000e+00,1.3049e-03,500,oth
synonymous_variant,14426,1.4426e+04,65970,2.1868e-01,0.0000e+00,1.6093e-03,500,asj
synonymous_variant,59957,5.9957e+04,150988,3.9710e-01,-9.6378e-17,1.2592e-03,500,afr
synonymous_variant,51975,5.1975e+04,100122,5.1912e-01,0.0000e+00,1.5790e-03,500,eas
synonymous_variant,59359,5.9359e+04,118391,5.0138e-01,0.0000e+00,1.4531e-03,500,sas
synonymous_variant,53273,5.3273e+04,125082,4.2590e-01,5.8170e-17,1.3981e-03,500,amr
synonymous_variant,69604,6.9604e+04,129001,5.3956e-01,0.0000e+00,1.3877e-03,1000,nfe
synonymous_variant,19172,1.9172e+04,67827,2.8266e-01,-5.3636e-17,1.7290e-03,1000,fin
synonymous_variant,95812,9.5812e+04,200776,4.7721e-01,-2.1744e-16,1.1147e-03,1000,oth
synonymous_variant,16180,1.6180e+04,76407,2.1176e-01,-1.6665e-16,1.4780e-03,1000,asj
synonymous_variant,86833,8.6833e+04,201271,4.3142e-01,-7.2300e-17,1.1040e-03,1000,afr
synonymous_variant,79563,7.9563e+04,144858,5.4925e-01,-2.0091e-16,1.3073e-03,1000,eas
